,Bal,Brick,Dist,District,Floor,Kitsp,Livesp,Metrdist,New,Nfloors,Price,Totsp,Walk,lat,lon,rooms
6636,0,1.0,9694.054661274566,9,1,7.7,28.4,12,1,1,11243430,45.1,0.0,55.782011,37.469829,2
6637,1,1.0,13403.988811822357,9,7,20,40,20,0,3,25900000,75,1.0,55.806808,37.423482,2
6638,0,1.0,9190.897027047595,9,6,7,32,5,0,2,19700000,55,0.0,55.76916,37.472593,2
6639,0,1.0,19736.774589383775,9,7,–,–,15,1,2,3579593,23.8,1.0,55.863303,37.366493,1
6640,0,1.0,15029.851666569788,9,4,2,9,3,0,5,3900000,15,1.0,55.849155,37.444,1
6641,0,0.0,19736.774589383775,9,2,–,–,15,1,2,3948917,36.1,1.0,55.863303,37.366493,1
6642,0,0.0,19736.774589383775,9,9,–,–,15,1,2,3952595,32.1,1.0,55.863303,37.366493,1
6643,0,0.0,19736.774589383775,9,2,–,–,15,1,2,4063819,36.2,1.0,55.863303,37.366493,1
6644,0,1.0,19736.774589383775,9,1,–,–,15,1,9,4313374,32.2,1.0,55.863303,37.366493,1
6645,0,1.0,19736.774589383775,9,5,–,–,15,1,2,4363971,32.6,1.0,55.863303,37.366493,1
6646,0,0.0,19736.774589383775,9,4,–,–,15,1,2,4528394,37.5,1.0,55.863303,37.366493,1
6647,0,0.0,19736.774589383775,9,1,–,–,15,1,7,4569949,37.9,1.0,55.863303,37.366493,1
6648,0,0.0,19736.774589383775,9,1,–,–,15,1,5,4574442,37.9,1.0,55.863303,37.366493,1
6649,0,0.0,19736.774589383775,9,4,–,–,15,1,2,4595960,37.4,1.0,55.863303,37.366493,1
6650,0,0.0,19736.774589383775,9,1,–,–,15,1,3,4601257,37.8,1.0,55.863303,37.366493,1
6651,0,0.0,19736.774589383775,9,1,–,–,15,1,2,4602227,37.8,1.0,55.863303,37.366493,1
6652,0,0.0,19736.774589383775,9,4,–,–,15,1,2,4622255,37.6,1.0,55.863303,37.366493,1
6653,0,0.0,19736.774589383775,9,9,–,–,15,1,2,4743831,37.6,1.0,55.863303,37.366493,1
6654,0,0.0,19736.774589383775,9,1,–,–,15,1,0,4872080,37.7,1.0,55.863303,37.366493,1
6655,0,0.0,19736.774589383775,9,1,–,–,15,1,1,4886527,37.8,1.0,55.863303,37.366493,1
6656,0,0.0,19736.774589383775,9,1,–,–,15,1,2,4890138,37.8,1.0,55.863303,37.366493,1
6657,0,,18065.024889260363,9,1,7,18,11,0,2,4900000,29,1.0,55.842464,37.373302,1
6658,0,,16823.7013293209,9,1,6.2,19,25,0,5,4940000,39.8,1.0,55.852177,37.41034,1
6659,0,0.0,15432.355891338353,9,1,6,20,3,0,5,5000000,32,1.0,55.852986,37.441637,1
6660,0,,18067.627228857662,9,2,–,–,3,1,1,5005000,27.3,0.0,55.842603,37.373409,1
6661,0,,18067.627228857662,9,1,–,–,3,1,7,5005000,27.8,0.0,55.842603,37.373409,1
6662,0,,18067.627228857662,9,2,–,–,3,1,2,5005000,27.9,0.0,55.842603,37.373409,1
6663,0,,18067.627228857662,9,1,–,–,3,1,8,5005000,27.7,0.0,55.842603,37.373409,1
6664,1,0.0,8349.54344615579,9,4,9,36.5,5,0,8,12600000,62,1.0,55.790757,37.499579,2
6665,1,0.0,14606.39218069364,9,4,7,20,,0,9,5200000,35,,55.844485,37.4455,1
6666,1,,19806.65594410742,9,2,10.2,46,3,0,0,12200000,81,1.0,55.851985,37.351024,3
6667,0,1.0,19736.774589383775,9,7,–,–,15,1,2,3579593,23.8,1.0,55.863303,37.366493,1
6668,0,1.0,15029.851666569788,9,4,2,9,3,0,5,3900000,15,1.0,55.849155,37.444,1
6669,0,0.0,19736.774589383775,9,2,–,–,15,1,2,3948917,36.1,1.0,55.863303,37.366493,1
6670,0,0.0,19736.774589383775,9,9,–,–,15,1,2,3952595,32.1,1.0,55.863303,37.366493,1
6671,0,0.0,19736.774589383775,9,2,–,–,15,1,2,4063819,36.2,1.0,55.863303,37.366493,1
6672,0,1.0,19736.774589383775,9,1,–,–,15,1,9,4313374,32.2,1.0,55.863303,37.366493,1
6673,0,1.0,19736.774589383775,9,5,–,–,15,1,2,4363971,32.6,1.0,55.863303,37.366493,1
6674,0,0.0,19736.774589383775,9,4,–,–,15,1,2,4528394,37.5,1.0,55.863303,37.366493,1
6675,0,0.0,19736.774589383775,9,1,–,–,15,1,7,4569949,37.9,1.0,55.863303,37.366493,1
